iter	Logloss
0	0.654882026
1	0.6191639437
2	0.5944320061
3	0.5695303758
4	0.5514931767
5	0.5342092658
6	0.5166148345
7	0.5012748803
8	0.4906681404
9	0.4796824978
10	0.4709145294
11	0.4634367283
12	0.4557184472
13	0.450088806
14	0.4440038451
15	0.4391574172
16	0.4343262151
17	0.430815464
18	0.4272060557
19	0.4231478171
20	0.4200621236
21	0.4175512774
22	0.415093418
23	0.4120803031
24	0.4097066474
25	0.4074963873
26	0.4058680955
27	0.4037560323
28	0.401908501
29	0.3997901313
30	0.398712388
31	0.3971704199
32	0.3952088737
33	0.3938713759
34	0.392512307
35	0.391602023
36	0.3903071498
37	0.3893997981
38	0.388186065
39	0.3868469398
40	0.3855167695
41	0.3846605663
42	0.3838735644
43	0.3831031173
44	0.3823587807
45	0.3814365585
46	0.3804226471
47	0.3802048435
48	0.3795742237
49	0.3789871069
50	0.3782260068
51	0.3775388711
52	0.3768887274
53	0.3761985678
54	0.3758183078
55	0.3752857608
56	0.3745581502
57	0.3741914614
58	0.3733621735
59	0.3726590748
60	0.3721627441
61	0.3714726401
62	0.3709335393
63	0.3703356062
64	0.3697060375
65	0.3690081373
66	0.3684207039
67	0.3676735436
68	0.3673746886
69	0.3669254781
70	0.3665067653
71	0.3657817741
72	0.3650659757
73	0.3645779489
74	0.3642408663
75	0.3638362778
76	0.3634414616
77	0.3630017618
78	0.3624188986
79	0.362168972
80	0.3615048924
81	0.3609919259
82	0.3603377253
83	0.3600638704
84	0.3596037578
85	0.3593526356
86	0.3588693429
87	0.3583583747
88	0.358032374
89	0.3576238027
90	0.3571890658
91	0.3568948033
92	0.3565612617
93	0.3559583652
94	0.3556365874
95	0.3551408974
96	0.3546934982
97	0.3543698493
98	0.3540149232
99	0.3536594881
100	0.3533668079
101	0.3529677317
102	0.3525342505
103	0.3522015398
104	0.3515826507
105	0.3510050874
106	0.3506873921
107	0.3503893025
108	0.349888914
109	0.349735197
110	0.3493974216
111	0.3489659631
112	0.3486295873
113	0.348254866
114	0.3480196949
115	0.3475984669
116	0.3474412612
117	0.3470428584
118	0.3468280471
119	0.3462766508
120	0.3460983673
121	0.3458090176
122	0.3454730125
123	0.3450045276
124	0.3447194404
125	0.3444627871
126	0.3441934654
127	0.3437776745
128	0.3433925756
129	0.3431277482
130	0.34271836
131	0.3422688374
132	0.342125235
133	0.3416691175
134	0.3414123918
135	0.3410761712
136	0.340880916
137	0.3404318682
138	0.3401820675
139	0.33980671
140	0.3395075139
141	0.3390986435
142	0.3385496387
143	0.3381783366
144	0.3378183298
145	0.3374501814
146	0.3374499549
147	0.3370734127
148	0.3367996261
149	0.3365706146
150	0.3363000991
151	0.336140076
152	0.3358058523
153	0.3354456927
154	0.3350554098
155	0.3349017032
156	0.3346291331
157	0.3343661403
158	0.3340022137
159	0.3335029769
160	0.3330133984
161	0.3327434043
162	0.3323740848
163	0.3322027872
164	0.3318889602
165	0.33154697
166	0.3313221052
167	0.3311360551
168	0.3308691234
169	0.3305628768
170	0.3302368737
171	0.3298846609
172	0.3295362314
173	0.3292446409
174	0.3289092212
175	0.3286982251
176	0.3284152774
177	0.3280476469
178	0.3277734378
179	0.327432571
180	0.3271243271
181	0.3269023989
182	0.3266844537
183	0.3263389699
184	0.3257617015
185	0.3254278277
186	0.3251142414
187	0.3247661221
188	0.3243197481
189	0.3239104619
190	0.3235783542
191	0.3232320911
192	0.3228239702
193	0.3224887548
194	0.3222353688
195	0.3217281201
196	0.321353805
197	0.3210717102
198	0.320802827
199	0.3203910922
200	0.320139232
201	0.3196925954
202	0.3193570512
203	0.3189973601
204	0.3187004392
205	0.3184507796
206	0.3179891295
207	0.3176087689
208	0.3172695708
209	0.3169791666
210	0.3166877363
211	0.3163534795
212	0.3160299069
213	0.3156249648
214	0.3152471101
215	0.3149925232
216	0.314617628
217	0.3141923775
218	0.3139006053
219	0.3137032009
220	0.3133969954
221	0.3129862271
222	0.3126624637
223	0.3124849583
224	0.312230148
225	0.3118253605
226	0.3115161891
227	0.3112803537
228	0.3108406304
229	0.3104118579
230	0.3100345717
231	0.309807791
232	0.3093701518
233	0.3091900291
234	0.3089414188
235	0.3084833066
236	0.3082250744
237	0.3081579186
238	0.3077923664
239	0.3076317727
240	0.3073552365
241	0.3069960285
242	0.3066455041
243	0.3062519814
244	0.3059639671
245	0.3055560613
246	0.3051329783
247	0.3049938893
248	0.3043985171
249	0.3041266759
250	0.3038588173
251	0.3035186169
252	0.3032965198
253	0.3029551659
254	0.3026440063
255	0.302212239
256	0.3019150905
257	0.3016404713
258	0.3014239446
259	0.3010535482
260	0.3007132939
261	0.3002129028
262	0.2997882604
263	0.2994871338
264	0.2991835908
265	0.2990184799
266	0.2987025676
267	0.2984349797
268	0.2979926342
269	0.2976926884
270	0.2974337183
271	0.2971575317
272	0.2966584581
273	0.2962553371
274	0.2958679885
275	0.295641484
276	0.2953310751
277	0.2951777624
278	0.2948341258
279	0.2944344525
280	0.2941853324
281	0.2938371585
282	0.2934718507
283	0.293133338
284	0.2928496916
285	0.2925850406
286	0.2922501616
287	0.2919116635
288	0.2915650303
289	0.2912771355
290	0.2910272261
291	0.2906074306
292	0.290417741
293	0.2900774252
294	0.2897371995
295	0.2894153753
296	0.2892068652
297	0.2888814295
298	0.2885701413
299	0.2883013205
