iter	Passed	Remaining
419	3668	698
420	3677	690
421	3686	681
422	3695	672
423	3704	664
424	3712	655
425	3720	646
426	3728	637
427	3737	628
428	3745	619
429	3753	611
430	3761	602
431	3770	593
432	3778	584
433	3787	575
434	3795	567
435	3803	558
436	3811	549
437	3821	540
438	3830	532
439	3838	523
440	3847	514
441	3856	506
442	3864	497
443	3872	488
444	3880	479
445	3888	470
446	3896	462
447	3905	453
448	3913	444
449	3933	437
450	3952	429
451	3966	421
452	3977	412
453	3984	403
454	3991	394
455	3998	385
456	4005	376
457	4014	368
458	4021	359
459	4028	350
460	4036	341
461	4044	332
462	4051	323
463	4059	314
464	4067	306
465	4076	297
466	4083	288
467	4091	279
468	4100	271
469	4108	262
470	4116	253
471	4124	244
472	4132	235
473	4140	227
474	4148	218
475	4157	209
476	4164	200
477	4172	192
478	4180	183
479	4188	174
480	4196	165
481	4204	157
482	4212	148
483	4221	139
484	4229	130
485	4237	122
486	4245	113
487	4253	104
488	4261	95
489	4269	87
490	4277	78
491	4285	69
492	4293	60
493	4301	52
494	4310	43
495	4318	34
496	4326	26
497	4335	17
498	4343	8
499	4351	0
