iter	Logloss
221	0.3635813305
222	0.3633366207
223	0.3630792164
224	0.362837935
225	0.3625340659
226	0.3622241252
227	0.3619266184
228	0.361728881
229	0.3615025286
230	0.3611744341
231	0.3609065605
232	0.3606865319
233	0.3604364837
234	0.3602310669
235	0.3600518624
236	0.3597645135
237	0.3595713746
238	0.3593318311
239	0.3591190455
240	0.3589773566
241	0.358686498
242	0.3584229804
243	0.3581035896
244	0.3579174046
245	0.3577393111
246	0.3574133719
247	0.3572283349
248	0.3569319688
249	0.3567041054
250	0.356440427
251	0.3561963386
252	0.3559149044
253	0.3556768795
254	0.3554740445
255	0.3552394688
256	0.3549204906
257	0.3547033417
258	0.3544472292
259	0.3541553645
260	0.3539265099
261	0.3537418465
262	0.3533218066
263	0.3530898358
264	0.3528475615
265	0.3525806569
266	0.3523156853
267	0.3521323961
268	0.3519361739
269	0.3517303519
270	0.3515276579
271	0.3513077265
272	0.3511503589
273	0.3509766036
274	0.3507324384
275	0.3505372727
276	0.3502873226
277	0.3500589274
278	0.3498051827
279	0.3496780645
280	0.3495329834
281	0.3493095822
282	0.3490178754
283	0.3488532391
284	0.3484922484
285	0.3482256377
286	0.3480373492
287	0.3478392261
288	0.3475294384
289	0.3473648191
290	0.347158304
291	0.3469696026
292	0.3467705649
293	0.3465709407
294	0.3463391464
295	0.3461748562
296	0.345889287
297	0.3455947817
298	0.3454049049
299	0.34519996
300	0.3449418897
301	0.3446527234
302	0.3444995119
303	0.3443498238
304	0.3441616845
305	0.343974886
306	0.3437965115
307	0.3436530019
308	0.3434456657
309	0.3432793976
310	0.3430157805
311	0.3428937863
312	0.342738786
313	0.3425774664
314	0.3424394744
315	0.3421508553
316	0.3420914917
317	0.3420170446
318	0.3418726749
319	0.3416787698
320	0.3414645597
321	0.3413239583
322	0.3410418449
323	0.3408952785
324	0.3407211087
325	0.340530185
326	0.3403452489
327	0.3402958363
328	0.3401298587
329	0.3399510178
330	0.3397800636
331	0.3395965411
332	0.3394782175
333	0.3392965284
334	0.3391789476
335	0.3390159353
336	0.3388967332
337	0.3387198598
338	0.3385277248
339	0.3383686068
340	0.3382186325
341	0.3381064553
342	0.3379376986
343	0.3378153243
344	0.3376246497
345	0.3374017364
346	0.3371884466
347	0.3369640559
348	0.3368283386
349	0.3366884105
350	0.3364995193
351	0.3363477465
352	0.3361900861
353	0.3360007086
354	0.3358298761
355	0.3356912129
356	0.335512191
357	0.3354813272
358	0.3352909931
359	0.3350650339
360	0.3349202863
361	0.3347804644
362	0.3345820864
363	0.334357166
364	0.3342026139
365	0.3339855638
366	0.3337832181
367	0.3336185408
368	0.3336107609
369	0.3334740235
370	0.3332972053
371	0.333098968
372	0.3329774017
373	0.3328293385
374	0.3326066256
375	0.332446604
376	0.3323322417
377	0.3321449657
378	0.3319176166
379	0.3316784945
380	0.3315578158
381	0.3313307532
382	0.3311609271
383	0.3310238443
384	0.330868947
385	0.3308563916
386	0.3307082355
387	0.3305971407
388	0.330443484
389	0.3303039518
390	0.3301094436
391	0.3299714936
392	0.329874577
393	0.3297076386
394	0.3295652814
395	0.3293714905
396	0.3292470962
397	0.329092787
398	0.3289399469
399	0.3287312056
400	0.3285575518
401	0.3283875259
402	0.3281839432
403	0.328019996
404	0.3278104944
405	0.3276194724
406	0.327393138
407	0.3272505626
408	0.3271335428
409	0.32696654
410	0.3268871189
411	0.3267129799
412	0.3265445287
413	0.3262937872
414	0.3261058082
415	0.3259891397
416	0.325802286
417	0.3257063911
418	0.3255482903
419	0.3254681866
420	0.3253709094
421	0.3252177722
422	0.3251255457
423	0.3249584831
424	0.3248759712
425	0.3247069797
426	0.3244876068
427	0.3243261977
428	0.3242189462
429	0.3240680386
430	0.3239732732
431	0.3237742352
432	0.3235551918
433	0.3234303675
434	0.3233015768
435	0.3231697694
436	0.3230385437
437	0.3228615234
438	0.3225965566
439	0.3224886713
440	0.3223722624
441	0.3221924182
442	0.3220647084
443	0.3219758395
444	0.3217950564
445	0.3216173693
446	0.3214155329
447	0.3213204238
448	0.3211405846
449	0.3209865079
450	0.3208577399
451	0.3207381143
452	0.3205645864
453	0.3204827796
454	0.3202864609
455	0.320124842
456	0.3199547429
457	0.3198856532
458	0.3197484812
459	0.3195131194
460	0.3193068281
461	0.3191796371
462	0.3190076179
463	0.3188778416
464	0.3186496531
465	0.3184555711
466	0.3183276525
467	0.3182297301
468	0.3180861876
469	0.3179249533
470	0.3178337085
471	0.3177156494
472	0.317514657
473	0.3173116262
474	0.3171884773
475	0.3170577176
476	0.3168812533
477	0.3167452712
478	0.3166550016
479	0.3165460499
480	0.3164300249
481	0.3162097422
482	0.316102518
483	0.315911197
484	0.3157577397
485	0.3156901224
486	0.3155319585
487	0.315448518
488	0.3153462327
489	0.3152054289
490	0.3151469622
491	0.31493034
492	0.3147125964
493	0.3144736426
494	0.3143098499
495	0.314212181
496	0.3140418379
497	0.3138185482
498	0.3136513295
499	0.3134954906
